Txt Path & File Name,String,Date
AARDVARK SWIFT\NA\67245718\Aardvark Amendment  DPA 20181206 FE_Stamped.txt.pdf,No Match,No
ABM JANITORIAL SERVICES\NA\69091688\ABM Industries MSA 20110921 Amendment 20190204.txt.pdf,No Match,No
admob\Insertion Order\2104945\002352BB.txt,No Match,No
admob\Insertion Order\2105271\002352BC.txt,No Match,No
admob\Insertion Order\2105515\002352BD.txt,No Match,No
adParlor\Insertion Order\2105759\002352BE.txt,No Match,No
adWare Pty Ltd\Nondisclosure-Confidentiality Agreement\3080389\0021D4B4.txt,No Match,No
aescripts+aeplugins\NA\67979356\id_68268999.txt,No Match,No
aescripts+aeplugins\NA\67979356\id_68269014.txt,No Match,No
aescripts+aeplugins\NA\67979356\id_68269018.txt,No Match,No
aescripts+aeplugins\NA\67979356\id_68269033.txt,No Match,No
aescripts+aeplugins\NA\67979356\id_68269037.txt,No Match,No
aescripts+aeplugins\NA\67979356\id_68269152.txt,No Match,No
aescripts+aeplugins\NA\67979356\Pur 2584  labels_3.txt,No Match,No
aescripts+aeplugins\NA\67979356\PUR 2584 kbar.txt,No Match,No
aescripts+aeplugins\NA\67979356\PUR. 2584 flow.txt,No Match,No
AGNI INTERACTIVE GAMING SOLUTIONS PVT LTD\NA\68279444\IN_51001134_Agni.Interactive.Gaming.Solutions.Pvt.Ltd_Order2019_AMENDED AND RESTATED ORDER FORM 20190110.txt.pdf,No Match,No
ajay bhatia\Nondisclosure-Confidentiality Agreement\38062407\Bhatia Ajay NDA 2015-07-29.txt,No Match,No
ALCHEMIC DREAM\Termination Agreement\57902658\KEYWORDS_INTERNATIONAL__ALCHEMIC_DREAM__-_TERMINATION_NOTICE_LETTER_-_2017-12-21.txt.pdf,No Match,No
Amazon Web Services LLC\NA\51860205\Zynga-AWS Amendment 1.txt.txt,No Match,No
andVerint Americas Inc\Nondisclosure-Confidentiality Agreement\2471389\0023F7A7.txt,No Match,No
anil bhargava\Nondisclosure-Confidentiality Agreement\38060204\Bhargava Anil NDA 2015-07-29.txt,No Match,No
appMobi Inc\Nondisclosure-Confidentiality Agreement\7140031\0002DBA4.txt,No Match,No
appMobi Inc\Nondisclosure-Confidentiality Agreement\7140031\id_33640600.txt,No Match,No
appMobi Inc\Nondisclosure-Confidentiality Agreement\7140031\id_7140128.txt,No Match,No
APPNEXT LTD\NA\36344904\Appnext Ltd NDA 2015.05.25.txt.pdf,No Match,No
APR PERFORMANCE\NA\59716150\APR A-00 15-12-17 002-signed.txt 1.txt,No Match,No
arejo GmbH AdTiger\Advertising Agreement\16603937\AdTiger-Ad Network Agreement.txt,Either party may terminate this Agreement for convenience on thirty ( 30 ) days notic,Yes
arejo GmbH AdTiger\Nondisclosure-Confidentiality Agreement\17660878\arejo GmbH - AdTiger - NDA 2012-10-26 FE.txt,No Match,No
arejo GmbH AdTiger\Nondisclosure-Confidentiality Agreement\17660878\id_17662981.txt,No Match,No
arejo GmbH AdTiger\Nondisclosure-Confidentiality Agreement\17660878\id_34002188.txt,No Match,No
ash ltd\Nondisclosure-Confidentiality Agreement\7147312\0002DBDF.txt,No Match,No
ash ltd\Nondisclosure-Confidentiality Agreement\7147312\id_33640641.txt,No Match,No
ash ltd\Nondisclosure-Confidentiality Agreement\7147312\id_7147409.txt,No Match,No
Associated Services Company\NA\28874074\Zynga Ion.txt.pdf,No Match,No
Associated Services Company\NA\29294266\Zynga Nespresso-Rental order.txt1.pdf,No Match,No
atlantix global\NA\11986093\id_11986196.txt,No Match,No
atlantix global\NA\11986093\id_15350348.txt,No Match,No
atlantix global\NA\11986093\Zynga Atlantix_Remarketing_Agreement_2013-7-5 clean.txt,No Match,No
atlantix global\NA\18571339\AGS Certificate of Data  Physical Destruction.txt,No Match,No
Badge Media LLC\Nondisclosure-Confidentiality Agreement\19219344\Badge Media LLC NDA.txt.pdf,No Match,No
Bandai NAmco Studios Vancouver\Nondisclosure-Confidentiality Agreement\35940786\150624_NDA_Zynga.txt.pdf,No Match,No
Beijing Cowinliane Technology Co Ltd\Staffing Agreement\25030175\Beijing Cowinliane Technology Co. Ltd. - Staffing Agreement Exhibition A _x3A_A1 2014-06 -05.txt.txt,No Match,No
bemko consulting ltd\Nondisclosure-Confidentiality Agreement\2324641\0023FC8D.txt,No Match,No
bmGlyph\NA\10620341\id_22288860.txt,No Match,No
bmGlyph\NA\10620341\id_22296875.txt,No Match,No
bmGlyph\NA\10620341\LICENSED_APPLICATION_END_USER_LICENSE_AGREEMENT.txt,No Match,No
bmGlyph\NA\12681053\id_22193990.txt,No Match,No
bmGlyph\NA\12681053\id_22194005.txt,No Match,No
bmGlyph\NA\12681053\LICENSED_APPLICATION_END_USER_LICENSE_AGREEMENT.txt,No Match,No
bwinparty digital entertainment plc\Nondisclosure-Confidentiality Agreement\7205230\0002DCC6.txt,No Match,No
bwinparty digital entertainment plc\Nondisclosure-Confidentiality Agreement\7205230\id_33688462.txt,No Match,No
bwinparty digital entertainment plc\Nondisclosure-Confidentiality Agreement\7205230\id_7205327.txt,No Match,No
C4 Digital Entertainment Ltd\Master Services Agreement\5702987\C4_DIGITAL_-_MSA_FOR_ART_SERVICES_2012-11-13-1.txt_Signed.txt,Either party may terminate this Agreement ( including the Statement of Work ) if the ,Yes
C4 Digital Entertainment Ltd\Master Services Agreement\5702987\C4_SOW_2012-11-15.txt_Signed 1.txt,No Match,No
california academy of sciences\NA\16940416\Academy Agreement Final 09.03.13.txt,Either party may terminate this Agreement without cause on thirty ( 30 ) days prior w,Yes
california academy of sciences\NA\16940416\Completed Agreement 2013-2014.txt,No Match,No
california academy of sciences\NA\16940416\eTicket Agmt_2013-2014_15 KJ.txt,Either party may terminate this Agreement without cause on thirty ( 30 ) days prior w,Yes
california academy of sciences\NA\16940416\id_16940519.txt,Either party may terminate this Agreement without cause on thirty ( 30 ) days prior w,Yes
california academy of sciences\NA\16940416\id_16940966.txt,Either party may terminate this Agreement without cause on thirty ( 30 ) days prior w,Yes
california academy of sciences\NA\16940416\id_17028021.txt,Either party may terminate this Agreement without cause on thirty ( 30 ) days prior w,Yes
california academy of sciences\NA\16940416\id_22111203.txt,No Match,No
california academy of sciences\NA\16940416\id_22111218.txt,No Match,No
Capital Grille\NA\13093261\Event Addendum_Z paper.txt.txt,No Match,No
CDW Direct\NA\5935819\DCJW857.txt-1.txt,No Match,No
challenged athletes\Campaign Profile\20334125\Challenged Athletes Campaign Profile 20131206.txt,No Match,No
challenged athletes\Campaign Profile\22525575\Challenged Athletes Foundation Campaign Profile 20140219.txt,No Match,No
challenged athletes\Master Charitable Promotions and Licensing Agreement\20006320\Challenged Athletes Foundation MSA 2013-04-29.txt,No Match,No
challenged athletes\Nondisclosure-Confidentiality Agreement\11920972\Challenged Athletes-NDA.txt,No Match,No
challenged athletes\Nondisclosure-Confidentiality Agreement\11920972\id_11921075.txt,No Match,No
challenged athletes\Nondisclosure-Confidentiality Agreement\11920972\id_33877519.txt,No Match,No
charity water\Campaign Profile\19941339\Charity water Campaign Profile 20130827.txt,No Match,No
charity water\NA\16702395\Org-CharityWater-Grant Agreement 03 26 2013.txt,No Match,No
Clickboothcom LLC\Nondisclosure-Confidentiality Agreement\14617608\Zynga  Clickbooth NDA.txt.pdf,No Match,No
comScore\Amendment\48378989\comScore_11772_FE_Amendment.txt,No Match,No
comScore\Amendment\48378989\id_49191501.txt,No Match,No
comScore\Amendment\48378989\id_49191516.txt,No Match,No
comScore\Amendment\62703965\comScore_14059_FE_Amendment.txt,No Match,No
comScore\Amendment\62703965\id_62901475.txt,No Match,No
comScore\Amendment\62703965\id_62901490.txt,No Match,No
comScore\NA\15484069\ComScore_Service_Order_July2013_FE.txt,No Match,No
comScore\NA\15484069\id_15484172.txt,No Match,No
comScore\NA\15484069\id_15650975.txt,No Match,No
comScore\NA\15484069\id_21951408.txt,No Match,No
comScore\NA\15484069\id_21951423.txt,No Match,No
comScore\NA\15484069\Zynga_comScore_Tagging_US_Service_Order__7-22-13_revised-1.txt,No Match,No
comScore\NA\19274851\comScore_CMS 19274851_Termination Letter_V2_12 NOV 2013_Final_Signed.txt,No Match,No
comScore\NA\19274851\id_19402611.txt,No Match,No
comScore\NA\19274851\id_19402626.txt,No Match,No
comScore\NA\20421568\comScore_CMS20421568_Subscription_2014_PS.txt,No Match,No
comScore\NA\20421568\id_20692920.txt,No Match,No
comScore\NA\20421568\id_20692935.txt,No Match,No
comScore\NA\22949272\comScore_9481_FE_SOW.txt,No Match,No
comScore\NA\22949272\comScore_CMS22949272_MobileStudy - 2014-04-23.txt,No Match,No
comScore\NA\22949272\id_24481898.txt,No Match,No
comScore\NA\22949272\id_24481913.txt,No Match,No
comScore\NA\28625160\comScore_9481_FE_CO_2014-10.txt,No Match,No
comScore\NA\31295443\comScore_10348_FE_SOW.txt,No Match,No
comScore\NA\31295443\comScore_CMS31295443.txt,No Match,No
comScore\NA\31295443\id_31341996.txt,No Match,No
comScore\NA\31295443\id_31342011.txt,No Match,No
comScore\NA\31295443\id_31623119.txt,No Match,No
comScore\NA\31295443\id_31623134.txt,No Match,No
comScore\NA\31348961\comScore_10349_FE_SOW.txt,No Match,No
comScore\NA\31348961\comScore_CMS31348961.txt,No Match,No
comScore\NA\31348961\id_31398428.txt,No Match,No
comScore\NA\31348961\id_31398443.txt,No Match,No
comScore\NA\31348961\id_31623144.txt,No Match,No
comScore\NA\31348961\id_31623159.txt,No Match,No
comScore\NA\40929483\comScore_11772_FE_SOW.txt,No Match,No
comScore\NA\40929483\id_41232627.txt,No Match,No
comScore\NA\40929483\id_41232642.txt,No Match,No
comScore\NA\40929483\Zynga - December 2015 Audience SO v3.txt,No Match,No
comScore\NA\57589456\comScore_14059_FE_ServiceOrder.txt,No Match,No
comScore\NA\57589456\id_58131181.txt,No Match,No
comScore\NA\57589456\id_58131196.txt,No Match,No
comScore\NA\57589456\Please_docusign_this_Agreement_Zynga_2017_Re.txt,No Match,No
comScore Inc\Amendment\12047328\ComScore_Amended Contract_20131.txt,No Match,No
